emp_no,first_name,last_name,salary,to_date,title
10100,Hironobu,Haraldson,54398,9999-01-01,Senior Staff
10001,Georgi,Facello,60117,9999-01-01,Senior Engineer
10004,Chirstian,Koblick,40054,9999-01-01,Engineer
10004,Chirstian,Koblick,40054,9999-01-01,Senior Engineer
10009,Sumant,Peac,60929,9999-01-01,Assistant Engineer
10009,Sumant,Peac,60929,9999-01-01,Engineer
10009,Sumant,Peac,60929,9999-01-01,Senior Engineer
10018,Kazuhide,Peha,55881,9999-01-01,Engineer
10018,Kazuhide,Peha,55881,9999-01-01,Senior Engineer
10035,Alain,Chappelet,41538,9999-01-01,Engineer
10035,Alain,Chappelet,41538,9999-01-01,Senior Engineer
10053,Sanjiv,Zschoche,67854,9999-01-01,Senior Staff
10058,Berhard,McFarlin,52787,9999-01-01,Senior Staff
10066,Kwee,Schusler,69736,9999-01-01,Assistant Engineer
10066,Kwee,Schusler,69736,9999-01-01,Engineer
10066,Kwee,Schusler,69736,9999-01-01,Senior Engineer
10067,Claudi,Stavenow,44642,9999-01-01,Engineer
10067,Claudi,Stavenow,44642,9999-01-01,Senior Engineer
10070,Reuven,Garigliano,55999,9999-01-01,Technique Leader
10072,Hironoby,Sidou,40000,9999-01-01,Engineer
10072,Hironoby,Sidou,40000,9999-01-01,Senior Engineer
10076,Erez,Ritzmann,47319,9999-01-01,Senior Engineer
10088,Jungsoon,Syrzycki,65957,9999-01-01,Senior Staff
10088,Jungsoon,Syrzycki,65957,9999-01-01,Staff
10198,Pranav,Furedi,44076,9999-01-01,Senior Engineer
10215,Xiaobin,Duclos,43944,9999-01-01,Senior Staff
10224,Leon,Trogemann,40000,9999-01-01,Engineer
10224,Leon,Trogemann,40000,9999-01-01,Senior Engineer
10233,Lein,Vendrig,40000,9999-01-01,Senior Staff
10233,Lein,Vendrig,40000,9999-01-01,Staff
10258,Basil,Ishibashi,66280,9999-01-01,Assistant Engineer
10258,Basil,Ishibashi,66280,9999-01-01,Engineer
10258,Basil,Ishibashi,66280,9999-01-01,Senior Engineer
10272,Yishai,Cannane,58070,9999-01-01,Staff
10282,Hercules,Benzmuller,40000,9999-01-01,Assistant Engineer
10282,Hercules,Benzmuller,40000,9999-01-01,Engineer
10283,Kauko,Birjandi,40000,9999-01-01,Engineer
10283,Kauko,Birjandi,40000,9999-01-01,Senior Engineer
10326,Masali,Czap,40000,9999-01-01,Staff
10340,Djelloul,Laventhal,68132,9999-01-01,Senior Staff
10340,Djelloul,Laventhal,68132,9999-01-01,Staff
10347,Pradeep,Kaminger,42199,9999-01-01,Staff
10355,Satyanarayana,Cochrane,70434,9999-01-01,Staff
10356,Vasilis,Standera,45376,9999-01-01,Senior Staff
10364,Nakhoon,Dengi,51401,9999-01-01,Senior Engineer
10372,Anneli,Frijda,54505,9999-01-01,Technique Leader
10387,Parto,Wrigley,61374,9999-01-01,Senior Staff
10387,Parto,Wrigley,61374,9999-01-01,Staff
10396,Sibyl,Rahier,40393,9999-01-01,Senior Engineer
10402,Volkmar,Ebeling,40000,9999-01-01,Technique Leader
10404,Prodip,Rosti,51647,9999-01-01,Engineer
10404,Prodip,Rosti,51647,9999-01-01,Senior Engineer
10426,Arunas,Luce,65757,9999-01-01,Technique Leader
10429,Martien,Improta,40000,9999-01-01,Senior Engineer
10432,Hisao,Tiemann,40000,9999-01-01,Senior Staff
10432,Hisao,Tiemann,40000,9999-01-01,Staff
10451,Bodh,Ranta,46275,9999-01-01,Assistant Engineer
10451,Bodh,Ranta,46275,9999-01-01,Engineer
10451,Bodh,Ranta,46275,9999-01-01,Senior Engineer
10453,Tsvetan,Matzel,40000,9999-01-01,Senior Staff
10453,Tsvetan,Matzel,40000,9999-01-01,Staff
10463,Ung,Zaiane,66480,9999-01-01,Staff
10486,Amstein,Kossowski,71692,9999-01-01,Engineer
10486,Amstein,Kossowski,71692,9999-01-01,Senior Engineer
10494,Yakkov,Servieres,50094,9999-01-01,Engineer
10494,Yakkov,Servieres,50094,9999-01-01,Senior Engineer
10504,Xiong,Varker,43931,9999-01-01,Staff
10512,Udi,Gihr,40000,9999-01-01,Senior Staff
10512,Udi,Gihr,40000,9999-01-01,Staff
10522,Marke,Cesareni,40000,9999-01-01,Senior Staff
10522,Marke,Cesareni,40000,9999-01-01,Staff
10548,Ramalingam,Gunderson,90631,9999-01-01,Senior Staff
10548,Ramalingam,Gunderson,90631,9999-01-01,Staff
10564,Jianhao,Thisen,46660,9999-01-01,Engineer
10564,Jianhao,Thisen,46660,9999-01-01,Senior Engineer
10623,Aleksander,Danlos,60268,9999-01-01,Engineer
10623,Aleksander,Danlos,60268,9999-01-01,Senior Engineer
10628,Krisda,Krogh,41650,9999-01-01,Assistant Engineer
10628,Krisda,Krogh,41650,9999-01-01,Engineer
10628,Krisda,Krogh,41650,9999-01-01,Senior Engineer
10631,Inderjeet,Chaudhuri,40000,9999-01-01,Engineer
10642,Hirochika,Narlikar,40000,9999-01-01,Engineer
10653,Otmar,Feinberg,40000,9999-01-01,Senior Engineer
10671,Parviz,Rebaine,74037,9999-01-01,Senior Staff
10671,Parviz,Rebaine,74037,9999-01-01,Staff
10676,Valeri,Danley,58226,9999-01-01,Engineer
10693,Berhard,Daescu,40000,9999-01-01,Senior Staff
10693,Berhard,Daescu,40000,9999-01-01,Staff
